VOC	Date	WeeklyCases	InfectionProp	AntigenicDistanceT1	SpikeCellEntryT1	RBDACE2bindingT1	EscapeScoreT1	AntigenicDistanceTn-1	SpikeCellEntryTn-1	RBDACE2bindingTn-1	EscapeScoreTn-1
BA.2	2022-09-04	55488.138596053	0.95656967964426	3.86622534941052	1.85523895149849	0.284126960211935	0.118431749966854	0.597980959608664	-0.0504725747874096	-0.00204773438142089	0.0294604644371003
BA.2	2022-09-11	57407.2963717448	0.957066275316253	4.18058748022705	1.8323248889914	0.297305661963935	0.153062913041963	0.628130142319749	-0.0229140625070827	0.0131787017520009	0.0346311630751088
BA.2	2022-09-18	64457.2309832563	0.95762385569293	4.55849477252221	1.80530207744245	0.289031864995243	0.183249879581357	0.687407976673889	-0.0270228115489496	-0.00827379696869259	0.030186966539394
BA.2	2022-09-25	72774.9489675273	0.958253387598644	4.70440512260781	1.7842159133933	0.312343766474982	0.210557643270932	0.366420564125625	-0.0210861640491561	0.0233119014797392	0.0273077636895751
BA.2	2022-10-02	80881.0334415683	0.95895304032037	4.75948206149757	1.76825603380902	0.350551244250501	0.223973117996116	0.43314123525053	-0.0159598795842804	0.0382074777755189	0.0134154747251842
BA.2	2022-10-09	99067.5251472447	0.95981001334179	4.7972117446736	1.770161036637	0.377454930933959	0.235193755332118	0.276000558510042	0.00190500282797978	0.0269036866834581	0.011220637336002
BA.2	2022-10-16	104175.556021799	0.96071117283749	4.89677680875677	1.63690187656348	0.396699125347025	0.261808161718851	0.279134862028837	-0.133259160073519	0.0192441944130663	0.0266144063867333
BA.2	2022-10-23	109970.153337769	0.96166245787698	4.9397556675029	1.60863441270385	0.436300687998743	0.28936628135731	0.369175154060039	-0.0282674638596336	0.0396015626517178	0.0275581196384591
BA.2	2022-10-30	111676.288385096	0.962628501655059	4.97698518138587	1.57702696464965	0.464098403469005	0.313715424776934	0.242470722798927	-0.0316074480541955	0.0277977154702616	0.0243491434196237
BA.2	2022-11-06	123689.283926434	0.963698462565116	5.04708880466451	1.48423293400321	0.473772604112695	0.342502897065427	0.261747062296546	-0.0927940306464394	0.00967420064369066	0.0287874722884934
BA.2	2022-11-13	135353.918134862	0.964869327144731	5.09606609459112	1.46904828087452	0.492070597028871	0.363455715984625	0.187960438053956	-0.0151846531286896	0.0182979929161751	0.0209528189191971
BA.2	2022-11-20	174700.08323045	0.966380551513621	5.13410746170973	1.44108772847754	0.490622961947902	0.37699713259369	0.299576746080382	-0.0279605523969858	-0.00144763508096798	0.0135414166090654
BA.2	2022-11-27	195323.834973647	0.968070179439258	5.20305143966148	1.41002692653103	0.468514098818942	0.404361194577605	0.318404011083317	-0.0310608019464979	-0.0221088631289604	0.0273640619839154
BA.2	2022-12-04	223676.541457864	0.970005069417269	5.23340852571296	1.46047709512933	0.46150876171938	0.416144840786163	0.205427832341423	0.0504501685982978	-0.00700533709956212	0.0117836462085579
BA.2	2022-12-11	284353.547627461	0.972464839341867	5.25773621372098	1.48231529695364	0.433993440738273	0.421303833072381	0.157855720482867	0.021838201824307	-0.0275153209811067	0.00515899228621797
BA.2	2022-12-18	325206.597921143	0.975278004204841	5.30545614181994	1.54419125843877	0.372206925845519	0.433670504641778	0.304017919009859	0.0618759614851284	-0.0617865148927544	0.0123666715693963
BA.2	2022-12-25	321358.394627766	0.978057880597162	5.34543541446784	1.54482333043753	0.358083861751569	0.436887968940085	0.138048081709881	0.000632071998766021	-0.01412306409395	0.00321746429830711
