VOC	HaploName	Date	DateNum	HaploCount	OtherCount	HaploCases	OtherCases	AntigenicDistanceABS	AntigenicDistance	ChangeACE2binding	ChangeCellEntry	ChangeImmuneEscape	InfectionProportion	DailyRelativeGrowthAdvantages	InfPropGroup
BA.2	472	2022-12-11	52	2	3227	176.1248359	284177.4228	2.124769657	-0.206824954	-0.887039809	0.36446532	-0.044005651	0.972464839	-0.765015478	GA9
BA.4/5	567	2022-12-18	36	2	12608	185.5143171	1169482.255	0.663820305	-0.033904538	0.011	0.071060536	-0.097688353	0.95336948	0.082963127	GA9
XBB	819	2023-04-02	27	9	9637	568.8460406	609107.6992	0.556114609	0.173391903	0.044321999	-0.058681246	0.004710815	0.444731837	-0.208534332	GA4
XBB	1407	2023-03-05	23	7	11116	387.6850303	615643.8281	0.40432231	0.176706815	0.021812461	-0.099549857	0.00370182	0.323932263	-0.182747776	GA3
WT	677	2020-05-31	18	2	2909	519.9212184	756225.4121	0.589197151	0.443244902	0.004555136	0.709462845	-0.000676018	0.050634073	-0.74998138	GA0
WT	52	2020-06-14	20	5	4536	1019.483708	924875.6196	0.20893826	0.057148512	-0.012715261	-0.258454588	-0.000427633	0.065816567	0.017525625	GA0
XBB	1459	2023-06-04	36	7	5999	319.6642113	273952.2291	0.888298667	0.072245202	0.061162171	0.133163127	0.000671175	0.67707008	-0.311722927	GA6
Delta	786	2021-11-21	37	19	101461	709.5131464	3788837.545	0.493683246	-0.084072961	0.006557253	-0.073807219	-0.001551259	0.749249206	-0.624258663	GA7
Alpha	8	2021-06-20	32	182	10645	16421.35169	960468.6197	0.353190142	0.073344689	0.014825898	0.126416006	-0.003530466	0.962099041	-0.608816101	GA9
XBB	418	2023-09-10	50	15	11287	310.4065492	233570.5814	1.2242426	-0.32223663	-0.626165486	-0.081821871	-0.020425331	0.866505698	-0.579376315	GA8
Alpha	105	2021-05-23	28	15	32073	1383.838031	2958922.478	0.2617148	0.008266704	0.011903204	0.007889791	-0.003542017	0.865808138	0.219983783	GA8
XBB	359	2023-11-26	61	1	7292	25.98306161	189468.4853	1.437548777	-0.105147031	0.678537793	0.006754317	0.061209237	0.954150838	1	GA9
BA.1	53	2022-02-13	12	56	77793	8918.033028	12388581.13	0.456239336	0.354005638	0.056442876	0.032727099	0.006493536	0.804897398	1	GA8
XBB	1048	2023-10-08	54	6	9739	92.58053235	150273.6341	1.601726052	-0.036696395	0.397506478	-0.027986061	-0.01963304	0.898051025	-0.414043781	GA8
Delta	970	2021-06-27	16	10	22205	733.1237572	1627901.303	0.425582287	0.181634212	0.006328157	0.206402845	-0.001653786	0.068041512	-0.343101911	GA0
XBB	65	2023-09-17	51	21	11063	316.1254902	166537.919	1.214022587	-0.245068149	0.004879105	-0.068123015	-0.024682366	0.875194909	-0.748050361	GA8
Alpha	94	2021-05-23	28	28	32060	2583.164325	2957723.152	0.384366417	0.131238714	0.011903204	0.124677399	-0.003542013	0.865808138	1	GA8
Delta	116	2021-11-14	36	81	106263	2668.30952	3500525.611	0.8249278	0.489151408	-0.423673838	0.208852811	0.129210809	0.713780976	-0.663483265	GA7
Delta	521	2021-08-01	21	1	82391	46.29929204	3814644.971	0.504838057	0.085141545	0.07668111	-0.561864444	0.000428597	0.206847934	1	GA2
BA.1	679	2022-02-06	11	10	87530	1855.700801	16242949.11	0.355145592	0.249755054	0.064609366	0.027525537	0.007378159	0.715858179	-0.234510898	GA7
BA.4/5	83	2022-09-18	23	20	38780	1495.527401	2899827.631	0.888521242	-0.095616699	-0.504394791	-0.04620736	0.028817832	0.70374051	-0.441889811	GA7
Alpha	236	2021-03-21	19	20	45597	1083.078116	2469255.644	0.212729484	0.040079514	0.007320078	0.130624156	-0.001408014	0.339490225	0.597044069	GA3
BQ.1	202	2022-11-13	10	3	9763	210.9411711	686472.8845	0.563588191	0.433545032	0.006573828	0.028840328	0.059923205	0.1397126	0.198312729	GA1
XBB	65	2023-06-04	36	8	5998	365.3305272	273906.5627	0.87124676	0.058963587	0.061162171	-0.025199031	0.000672118	0.67707008	1	GA6
XBB	82	2023-08-13	46	46	7482	2225.82237	362034.8473	1.535566827	-0.066327398	0.349220265	0.114845288	0.010334537	0.808094286	0.155240139	GA8
BA.2	111	2023-01-22	58	10	2212	904.6293903	200104.0211	1.442697679	-0.016190417	0.370031686	-0.608368216	0.05186117	0.98789027	-0.528318417	GA9
Delta	314	2021-11-07	35	21	96717	707.1373881	3256771.751	0.812954899	-0.286175931	-0.313162448	-0.183040173	0.075542751	0.680992865	-0.188464038	GA6
BQ.1	3	2023-01-29	21	135	7428	9447.84739	519841.5586	0.565161744	-0.288470711	0.008648684	-0.18831842	-0.118169676	0.914554463	-0.008043766	GA9
Alpha	36	2021-04-25	24	61	48512	5396.226565	4291503.986	0.259583325	0.040467272	0.012522595	0.541926303	-0.001629754	0.623139987	-0.201914047	GA6
BA.4/5	822	2022-08-14	18	7	44133	904.2540207	5701063.242	0.328776636	0.117546798	0.00509266	-0.020480237	-0.011776285	0.497555662	-0.062741486	GA4
WT	484	2020-11-15	42	5	18405	1052.564729	3874490.768	0.472801191	-0.021311757	-0.050411733	0.713793322	-0.00230806	0.473410341	-0.293937399	GA4
