VOC	Date	Cases	AverageNUCMutCount	
XBB	2023-04-02	609676.5453	101.7713614	0.832804532
XBB	2023-04-09	620995.3362	102.6083132	0.836951767
XBB	2023-04-16	616434.2108	102.4523316	-0.155981567
XBB	2023-04-23	615703.7793	102.9482903	0.495958723
XBB	2023-04-30	599682.1891	103.4982477	0.549957334
XBB	2023-05-07	558005.8683	103.9082447	0.409997017
XBB	2023-05-14	472213.0393	104.3651129	0.456868235
XBB	2023-05-21	393873.4408	104.8381433	0.473030396
XBB	2023-05-28	310281.3808	105.1057043	0.267560996
XBB	2023-06-04	274271.8933	105.6591887	0.553484424
XBB	2023-06-11	211279.8959	106.2303493	0.571160614
XBB	2023-06-18	192206.7971	106.6037584	0.373409087
XBB	2023-06-25	162960.5246	107.1493797	0.545621306
XBB	2023-07-02	177764.4755	107.6481232	0.498743457
XBB	2023-07-09	176481.0459	108.0363988	0.388275643
XBB	2023-07-16	200800.5529	108.3871851	0.350786266
XBB	2023-07-23	247056.8933	108.8742038	0.487018718
XBB	2023-07-30	410805.4446	109.3237754	0.449571567
XBB	2023-08-06	372368.1556	109.7582846	0.434509212
XBB	2023-08-13	364260.6697	110.1024226	0.344138043
XBB	2023-08-20	255687.2619	110.4432295	0.340806868
XBB	2023-08-27	323282.4252	110.9792331	0.53600357
XBB	2023-09-03	308790.9544	111.3583483	0.379115213
XBB	2023-09-10	233880.988	111.7724501	0.414101793
XBB	2023-09-17	166854.0444	112.155339	0.382888895
XBB	2023-09-24	138953.109	112.529001	0.373662003
XBB	2023-10-01	149573.8692	112.7324883	0.203487277
XBB	2023-10-08	150366.2146	113.107529	0.375040733
XBB	2023-10-15	143161.3715	113.7121951	0.604666126
XBB	2023-10-22	135020.4194	113.8447592	0.132564085
XBB	2023-10-29	135094.395	114.0778992	0.233139944
XBB	2023-11-05	141018.814	114.5026516	0.424752452
XBB	2023-11-12	159260.6328	114.5708511	0.068199535
XBB	2023-11-19	174203.1922	114.7964934	0.225642288
XBB	2023-11-26	189494.4683	115.2484264	0.451932984
XBB	2023-12-03	192448.2876	115.469273	0.220846567
XBB	2023-12-10	187321.906	115.6721161	0.202843142
XBB	2023-12-17	163544.1041	115.969594	0.297477871
XBB	2023-12-24	124917.4252	116.2036211	0.234027106
XBB	2023-12-31	79895.86756	116.6333799	0.429758791
XBB	2024-01-07	50685.18621	116.638512	0.005132147
XBB	2024-01-14	31155.85842	116.9204545	0.28194251
XBB	2024-01-21	19178.05859	117.3982971	0.477842522
XBB	2024-01-28	10882.59305	117.8179059	0.419608851
